Color,Value,Variable,,,
#ffffff,0,CO,,,
#fbfbfe,0.02,CO,,,
#f9f9fe,0.04,CO,,,
#fbfbfe,0.06,CO,,,
#f8f8fe,0.08,CO,,,
#f1f1fe,0.1,CO,,,
#f2f2fe,0.12,CO,,,
#efeffe,0.14,CO,,,
#f0f0fe,0.16,CO,,,
#ededfe,0.18,CO,,,
#eaeafe,0.2,CO,,,
#ececfe,0.22,CO,,,
#e9e9fe,0.24,CO,,,
#e2e2fe,0.26,CO,,,
#dfdffe,0.28,CO,,,
#dedefe,0.3,CO,,,
#dfdffe,0.32,CO,,,
#dcdcfe,0.34,CO,,,
#d9d9fe,0.36,CO,,,
#dadafe,0.38,CO,,,
#d6d6fe,0.4,CO,,,
#d7d7fe,0.42,CO,,,
#d1d1fe,0.44,CO,,,
#cecefe,0.46,CO,,,
#d0d0fe,0.48,CO,,,
#cecefe,0.5,CO,,,
#cbcbfe,0.52,CO,,,
#c7c7fe,0.54,CO,,,
#c8c8fe,0.56,CO,,,
#c2c2fe,0.58,CO,,,
#bebefe,0.6,CO,,,
#bfbffe,0.62,CO,,,
#bebefe,0.64,CO,,,
#bbbbfe,0.66,CO,,,
#b8b8fe,0.68,CO,,,
#b7b7fe,0.7,CO,,,
#b8b8fe,0.72,CO,,,
#b5b5fe,0.74,CO,,,
#b2b2fe,0.76,CO,,,
#b4b4fe,0.78,CO,,,
#b2b2fe,0.8,CO,,,
#ababfe,0.82,CO,,,
#a8a8fe,0.84,CO,,,
#a6a6fe,0.86,CO,,,
#a8a8fe,0.88,CO,,,
#a6a6fe,0.9,CO,,,
#a2a2fe,0.92,CO,,,
#a3a3fe,0.94,CO,,,
#9f9ffe,0.96,CO,,,
#a0a0fe,0.98,CO,,,
#9a9afe,1,CO,,,
#9696fe,1.02,CO,,,
#9797fe,1.04,CO,,,
#9696fe,1.06,CO,,,
#9494fe,1.08,CO,,,
#9191fe,1.1,CO,,,
#9090fe,1.12,CO,,,
#9191fe,1.14,CO,,,
#8c8cfe,1.16,CO,,,
#8787fe,1.18,CO,,,
#8888fe,1.2,CO,,,
#8787fe,1.22,CO,,,
#8484fe,1.24,CO,,,
#8181fe,1.26,CO,,,
#8080fe,1.28,CO,,,
#8181fe,1.3,CO,,,
#7e7efe,1.32,CO,,,
#7b7bfe,1.34,CO,,,
#7d7dfe,1.36,CO,,,
#7b7bfe,1.38,CO,,,
#7474fe,1.4,CO,,,
#7575fe,1.42,CO,,,
#7171fe,1.44,CO,,,
#6f6ffe,1.46,CO,,,
#7171fe,1.48,CO,,,
#6f6ffe,1.5,CO,,,
#6c6cfe,1.52,CO,,,
#6565fe,1.54,CO,,,
#6363fe,1.56,CO,,,
#6565fe,1.58,CO,,,
#6262fe,1.6,CO,,,
#5f5ffe,1.62,CO,,,
#6060fe,1.64,CO,,,
#5f5ffe,1.66,CO,,,
#5c5cfe,1.68,CO,,,
#5a5afe,1.7,CO,,,
#5959fe,1.72,CO,,,
#5a5afe,1.74,CO,,,
#5555fe,1.76,CO,,,
#5050fe,1.78,CO,,,
#5151fe,1.8,CO,,,
#4d4dfe,1.82,CO,,,
#4e4efe,1.84,CO,,,
#4949fe,1.86,CO,,,
#4747fe,1.88,CO,,,
#4949fe,1.9,CO,,,
#4545fe,1.92,CO,,,
#3f3ffe,1.94,CO,,,
#4040fe,1.96,CO,,,
#3d3dfe,1.98,CO,,,
#3e3efe,2,CO,,,
#3b3bfe,2.02,CO,,,
#3838fe,2.04,CO,,,
#3a3afe,2.06,CO,,,
#3838fe,2.08,CO,,,
#3535fe,2.1,CO,,,
#2e2efe,2.12,CO,,,
#2c2cfe,2.14,CO,,,
#2e2efe,2.16,CO,,,
#2b2bfe,2.18,CO,,,
#2828fe,2.2,CO,,,
#2929fe,2.22,CO,,,
#2828fe,2.24,CO,,,
#2525fe,2.26,CO,,,
#2222fe,2.28,CO,,,
#2121fe,2.3,CO,,,
#2222fe,2.32,CO,,,
#1e1efe,2.34,CO,,,
#1818fe,2.36,CO,,,
#1919fe,2.38,CO,,,
#1515fe,2.4,CO,,,
#1616fe,2.42,CO,,,
#1212fe,2.44,CO,,,
#1010fe,2.46,CO,,,
#1212fe,2.48,CO,,,
#0f0ffe,2.5,CO,,,
#0808fe,2.52,CO,,,
#0909fe,2.54,CO,,,
#0505fe,2.56,CO,,,
#0606fe,2.58,CO,,,
#0303fe,2.6,CO,,,
#0101fe,2.62,CO,,,
#0202fe,2.64,CO,,,
#0002fc,2.66,CO,,,
#0006f6,2.68,CO,,,
#0008f3,2.7,CO,,,
#0006f5,2.72,CO,,,
#0008f2,2.74,CO,,,
#000bef,2.76,CO,,,
#000af0,2.78,CO,,,
#010ced,2.8,CO,,,
#010bee,2.82,CO,,,
#0110e7,2.84,CO,,,
#0113e4,2.86,CO,,,
#0112e5,2.88,CO,,,
#0113e4,2.9,CO,,,
#0115e2,2.92,CO,,,
#0118de,2.94,CO,,,
#011adc,2.96,CO,,,
#011bdb,2.98,CO,,,
#011adc,3,CO,,,
#011cd9,3.02,CO,,,
#0120d2,3.04,CO,,,
#0120d3,3.06,CO,,,
#0223d0,3.08,CO,,,
#0223cf,3.1,CO,,,
#0222d0,3.12,CO,,,
#0224cd,3.14,CO,,,
#0227ca,3.16,CO,,,
#0226cc,3.18,CO,,,
#0227ca,3.2,CO,,,
#022bc4,3.22,CO,,,
#022dc1,3.24,CO,,,
#022ebf,3.26,CO,,,
#022ec0,3.28,CO,,,
#022fbf,3.3,CO,,,
#0231bd,3.32,CO,,,
#0233b9,3.34,CO,,,
#0232ba,3.36,CO,,,
#0337b4,3.38,CO,,,
#033ab0,3.4,CO,,,
#0339b1,3.42,CO,,,
#033ab0,3.44,CO,,,
#033bae,3.46,CO,,,
#033eaa,3.48,CO,,,
#033dab,3.5,CO,,,
#0340a8,3.52,CO,,,
#0342a6,3.54,CO,,,
#0340a8,3.56,CO,,,
#0342a5,3.58,CO,,,
#03479f,3.6,CO,,,
#03499c,3.62,CO,,,
#034a9b,3.64,CO,,,
#03499c,3.66,CO,,,
#034b99,3.68,CO,,,
#044e96,3.7,CO,,,
#044d98,3.72,CO,,,
#044e96,3.74,CO,,,
#045290,3.76,CO,,,
#04548e,3.78,CO,,,
#04558d,3.8,CO,,,
#04558e,3.82,CO,,,
#04568c,3.84,CO,,,
#045888,3.86,CO,,,
#045889,3.88,CO,,,
#045a85,3.9,CO,,,
#045986,3.92,CO,,,
#045e81,3.94,CO,,,
#04617d,3.96,CO,,,
#04607e,3.98,CO,,,
#04607d,4,CO,,,
#04627a,4.02,CO,,,
#046477,4.04,CO,,,
#046576,4.06,CO,,,
#046477,4.08,CO,,,
#046773,4.1,CO,,,
#056b6e,4.12,CO,,,
#056a6f,4.14,CO,,,
#056b6e,4.16,CO,,,
#056e6b,4.18,CO,,,
#057068,4.2,CO,,,
#057166,4.22,CO,,,
#057168,4.24,CO,,,
#057265,4.26,CO,,,
#057462,4.28,CO,,,
#057463,4.3,CO,,,
#05795c,4.32,CO,,,
#05795d,4.34,CO,,,
#057b59,4.36,CO,,,
#057c57,4.38,CO,,,
#057c58,4.4,CO,,,
#057d57,4.42,CO,,,
#067e55,4.44,CO,,,
#06834e,4.46,CO,,,
#06854c,4.48,CO,,,
#06834e,4.5,CO,,,
#06864b,4.52,CO,,,
#068849,4.54,CO,,,
#06874a,4.56,CO,,,
#068749,4.58,CO,,,
#068946,4.6,CO,,,
#068b43,4.62,CO,,,
#068c42,4.64,CO,,,
#068b43,4.66,CO,,,
#068e3f,4.68,CO,,,
#06923a,4.7,CO,,,
#06913b,4.72,CO,,,
#079437,4.74,CO,,,
#079634,4.76,CO,,,
#079732,4.78,CO,,,
#079733,4.8,CO,,,
#079832,4.82,CO,,,
#079a30,4.84,CO,,,
#079f29,4.86,CO,,,
#07a027,4.88,CO,,,
#07a029,4.9,CO,,,
#07a226,4.92,CO,,,
#07a423,4.94,CO,,,
#07a324,4.96,CO,,,
#07a323,4.98,CO,,,
#07a521,5,CO,,,
#08aa1b,5.02,CO,,,
#08ac19,5.04,CO,,,
#08ab1b,5.06,CO,,,
#08ac18,5.08,CO,,,
#08ad15,5.1,CO,,,
#08ad16,5.12,CO,,,
#08ad15,5.14,CO,,,
#08b012,5.16,CO,,,
#09b210,5.18,CO,,,
#09b30f,5.2,CO,,,
#08b30f,5.22,CO,,,
#0cb40f,5.24,CO,,,
#12b50e,5.26,CO,,,
#11b50e,5.28,CO,,,
#15b60e,5.3,CO,,,
#14b60e,5.32,CO,,,
#18b70e,5.34,CO,,,
#1ab70e,5.36,CO,,,
#18b70e,5.38,CO,,,
#1bb80e,5.4,CO,,,
#22ba0e,5.42,CO,,,
#21ba0e,5.44,CO,,,
#24bb0d,5.46,CO,,,
#25bb0d,5.48,CO,,,
#24bb0d,5.5,CO,,,
#27bc0d,5.52,CO,,,
#2abd0d,5.54,CO,,,
#29bd0d,5.56,CO,,,
#2abd0d,5.58,CO,,,
#2dbe0d,5.6,CO,,,
#32c00d,5.62,CO,,,
#35c00d,5.64,CO,,,
#33c00d,5.66,CO,,,
#36c00d,5.68,CO,,,
#39c10c,5.7,CO,,,
#38c10c,5.72,CO,,,
#3cc30c,5.74,CO,,,
#3bc30c,5.76,CO,,,
#42c40b,5.78,CO,,,
#46c50b,5.8,CO,,,
#44c50b,5.82,CO,,,
#46c50b,5.84,CO,,,
#49c60b,5.86,CO,,,
#4dc70b,5.88,CO,,,
#4fc80b,5.9,CO,,,
#51c80b,5.92,CO,,,
#4fc80b,5.94,CO,,,
#52c90b,5.96,CO,,,
#59cb0a,5.98,CO,,,
#58cb0a,6,CO,,,
#5bcc0a,6.02,CO,,,
#5ccc0a,6.04,CO,,,
#5bcc0a,6.06,CO,,,
#5ecd0a,6.08,CO,,,
#61ce09,6.1,CO,,,
#60ce09,6.12,CO,,,
#61ce09,6.14,CO,,,
#65cf09,6.16,CO,,,
#64cf09,6.18,CO,,,
#6ad109,6.2,CO,,,
#6dd209,6.22,CO,,,
#6bd209,6.24,CO,,,
#6dd209,6.26,CO,,,
#71d309,6.28,CO,,,
#70d309,6.3,CO,,,
#74d408,6.32,CO,,,
#73d408,6.34,CO,,,
#79d508,6.36,CO,,,
#7dd608,6.38,CO,,,
